timestamp_ms,x,y,event_type,button,dx,dy
695756082,1349,1452,move,,0,0
695756090,1358,1448,move,,0,0
695756098,1367,1442,move,,0,0
695756106,1378,1437,move,,0,0
695756114,1388,1431,move,,0,0
695756122,1399,1426,move,,0,0
695756130,1410,1420,move,,0,0
695756138,1419,1416,move,,0,0
695756146,1428,1411,move,,0,0
695756154,1435,1409,move,,0,0
695756162,1438,1406,move,,0,0
695756170,1441,1405,move,,0,0
695756178,1443,1404,move,,0,0
695756186,1444,1403,move,,0,0
695756194,1445,1403,move,,0,0
695756210,1446,1403,move,,0,0
695756234,1447,1403,move,,0,0
695756266,1448,1403,move,,0,0
695756298,1448,1403,move,,0,0
695756306,1448,1405,move,,0,0
695756314,1450,1410,move,,0,0
695756322,1450,1418,move,,0,0
695756330,1451,1428,move,,0,0
695756338,1453,1441,move,,0,0
695756346,1454,1453,move,,0,0
695756354,1454,1469,move,,0,0
695756362,1454,1485,move,,0,0
695756370,1454,1503,move,,0,0
695756378,1452,1523,move,,0,0
695756386,1445,1544,move,,0,0
695756394,1432,1570,move,,0,0
695756402,1415,1598,move,,0,0
695756410,1393,1624,move,,0,0
695756418,1366,1627,move,,0,0
695756426,1333,1625,move,,0,0
695756434,1295,1626,move,,0,0
695756442,1255,1622,move,,0,0
695756450,1213,1616,move,,0,0
695756458,1172,1611,move,,0,0
695756466,1137,1606,move,,0,0
695756474,1103,1601,move,,0,0
695756482,1074,1599,move,,0,0
695756490,1051,1596,move,,0,0
695756498,1035,1593,move,,0,0
695756506,1022,1589,move,,0,0
695756514,1015,1584,move,,0,0
695756522,1013,1579,move,,0,0
695756530,1012,1575,move,,0,0
695756538,1012,1568,move,,0,0
695756546,1016,1559,move,,0,0
695756554,1023,1547,move,,0,0
695756562,1033,1532,move,,0,0
695756570,1044,1517,move,,0,0
695756578,1058,1499,move,,0,0
695756586,1072,1482,move,,0,0
695756594,1088,1467,move,,0,0
695756602,1105,1451,move,,0,0
695756610,1127,1433,move,,0,0
695756618,1153,1414,move,,0,0
695756626,1181,1394,move,,0,0
695756634,1218,1372,move,,0,0
695756642,1254,1350,move,,0,0
695756650,1290,1329,move,,0,0
695756658,1321,1311,move,,0,0
695756666,1350,1293,move,,0,0
695756674,1378,1276,move,,0,0
695756682,1402,1260,move,,0,0
695756690,1424,1244,move,,0,0
695756698,1440,1232,move,,0,0
695756706,1458,1219,move,,0,0
695756714,1476,1202,move,,0,0
695756722,1493,1183,move,,0,0
695756730,1508,1162,move,,0,0
695756738,1519,1143,move,,0,0
695756746,1525,1124,move,,0,0
695756754,1530,1106,move,,0,0
695756762,1534,1090,move,,0,0
695756770,1534,1074,move,,0,0
695756778,1533,1060,move,,0,0
695756786,1528,1043,move,,0,0
695756794,1520,1027,move,,0,0
695756802,1508,1010,move,,0,0
695756810,1492,992,move,,0,0
695756818,1473,973,move,,0,0
695756826,1450,952,move,,0,0
695756834,1432,936,move,,0,0
695756842,1418,921,move,,0,0
695756850,1409,908,move,,0,0
695756858,1402,893,move,,0,0
695756866,1397,879,move,,0,0
695756874,1396,862,move,,0,0
695756882,1396,847,move,,0,0
695756890,1398,832,move,,0,0
695756898,1405,816,move,,0,0
695756906,1418,801,move,,0,0
695756914,1439,782,move,,0,0
695756922,1475,757,move,,0,0
695756930,1531,727,move,,0,0
695756938,1599,691,move,,0,0
695756946,1678,655,move,,0,0
695756954,1761,618,move,,0,0
695756962,1844,578,move,,0,0
695756970,1923,538,move,,0,0
695756978,1995,499,move,,0,0
695756986,2055,465,move,,0,0
695756994,2104,432,move,,0,0
695757002,2141,405,move,,0,0
695757010,2163,387,move,,0,0
695757018,2175,374,move,,0,0
695757026,2181,361,move,,0,0
695757034,2183,351,move,,0,0
695757042,2182,339,move,,0,0
695757050,2176,328,move,,0,0
695757058,2166,315,move,,0,0
695757066,2155,302,move,,0,0
695757074,2143,290,move,,0,0
695757082,2132,281,move,,0,0
695757090,2121,273,move,,0,0
695757098,2112,267,move,,0,0
695757106,2105,263,move,,0,0
695757114,2100,259,move,,0,0
695757122,2096,257,move,,0,0
695757130,2094,256,move,,0,0
695757138,2094,255,move,,0,0
695757146,2093,255,move,,0,0
695757186,2093,254,move,,0,0
695757194,2093,253,move,,0,0
695757202,2093,252,move,,0,0
695757210,2093,250,move,,0,0
695757218,2095,247,move,,0,0
695757226,2098,244,move,,0,0
695757234,2102,240,move,,0,0
695757242,2107,235,move,,0,0
695757250,2113,229,move,,0,0
695757258,2120,223,move,,0,0
695757266,2127,218,move,,0,0
695757274,2132,214,move,,0,0
695757282,2137,211,move,,0,0
695757290,2142,211,move,,0,0
695757298,2145,211,move,,0,0
695757306,2148,211,move,,0,0
695757314,2149,212,move,,0,0
695757322,2149,213,move,,0,0
695757330,2146,214,move,,0,0
695757338,2136,216,move,,0,0
695757346,2118,216,move,,0,0
695757354,2094,216,move,,0,0
695757362,2057,216,move,,0,0
695757370,2002,211,move,,0,0
695757378,1936,206,move,,0,0
695757386,1857,197,move,,0,0
695757394,1766,185,move,,0,0
695757402,1671,176,move,,0,0
695757410,1572,163,move,,0,0
695757418,1473,151,move,,0,0
695757426,1374,142,move,,0,0
695757434,1284,133,move,,0,0
695757442,1201,124,move,,0,0
695757450,1130,118,move,,0,0
695757458,1068,110,move,,0,0
695757466,1017,105,move,,0,0
695757474,975,100,move,,0,0
695757482,943,94,move,,0,0
695757490,920,90,move,,0,0
695757498,902,87,move,,0,0
695757506,887,84,move,,0,0
695757514,875,81,move,,0,0
695757522,863,79,move,,0,0
695757530,852,76,move,,0,0
695757538,844,75,move,,0,0
695757546,835,72,move,,0,0
695757554,829,71,move,,0,0
695757562,822,69,move,,0,0
695757570,817,68,move,,0,0
695757578,811,67,move,,0,0
695757586,803,65,move,,0,0
695757594,794,64,move,,0,0
695757602,784,63,move,,0,0
695757610,773,61,move,,0,0
695757618,761,60,move,,0,0
695757626,751,58,move,,0,0
695757634,738,55,move,,0,0
695757642,726,52,move,,0,0
695757650,712,49,move,,0,0
695757658,695,45,move,,0,0
695757666,679,42,move,,0,0
695757674,661,39,move,,0,0
